compound_names,smiles,isactive,,
"6-butyl-4-(o-tolyl)-3,4,6,7-tetrahydro-1H-pyrrolo[3,4-d]pyrimidine-2,5-dione",CCCCN1CC2=C(C1=O)C(c1ccccc1C)NC(=O)N2,0.280426364,3449,50.00%
N-[3-(1H-benzimidazol-2-yl)phenyl]-4-fluorobenzamide,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1ccc(F)cc1,0.280363388,3450,50.01%
"7-(4-chlorobenzyl)-8-(isobutylamino)-1,3-dimethyl-1H-purine-2,6(3H,7H)-dione",CC(C)CNc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccc(Cl)cc1,0.280278248,3451,50.03%
"N-[4-(3,4-dimethoxyphenyl)-1,3-thiazol-2-yl]-2-methylbenzamide",COc1ccc(-c2csc(NC(=O)c3ccccc3C)n2)cc1OC,0.280203197,3452,50.04%
"(Z)-isopropyl 2-((2-(3,4-dimethoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)acetate",COc1ccc(/C=C2\Oc3cc(OCC(=O)OC(C)C)ccc3C2=O)cc1OC,0.280153931,3453,50.06%
"2-[(5Z)-5-[(4-ethoxyphenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]butanoic acid",CCOc1ccc(/C=C2\SC(=S)N(C(CC)C(=O)O)C2=O)cc1,0.280049369,3454,50.07%
"(3r,5r,7r)-N-(4-((Z)-3-(4-methoxyphenyl)acryloyl)phenyl)adamantane-1-carboxamide",COc1ccc(/C=C\C(=O)c2ccc(NC(=O)C34CC5CC(CC(C5)C3)C4)cc2)cc1,0.279832106,3455,50.09%
N-[2-(4-tert-butylphenyl)-4-oxo-4H-chromen-7-yl]acetamide,CC(=O)Nc1ccc2c(=O)cc(-c3ccc(C(C)(C)C)cc3)oc2c1,0.279786981,3456,50.10%
"N-cyclohexyl-5-methyl-3-(p-tolyl)pyrazolo[1,5-a]pyrimidin-7-amine",Cc1ccc(-c2cnn3c(NC4CCCCC4)cc(C)nc23)cc1,0.279773525,3457,50.12%
"isobutyl 2-amino-1-(4-sulfamoylphenyl)-1H-pyrrolo[2,3-b]quinoxaline-3-carboxylate",CC(C)COC(=O)c1c(N)n(-c2ccc(S(N)(=O)=O)cc2)c2nc3ccccc3nc12,0.279765872,3458,50.13%
N-benzyl-2-(1-(2-(diethylamino)-2-oxoethyl)-1H-indol-3-yl)-N-isopropyl-2-oxoacetamide,CCN(CC)C(=O)Cn1cc(C(=O)C(=O)N(Cc2ccccc2)C(C)C)c2ccccc21,0.279750397,3459,50.14%
"N-(3-chlorophenyl)-2-[1-(2,3-dimethylphenyl)imidazol-2-yl]sulfanylacetamide",Cc1cccc(-n2ccnc2SCC(=O)Nc2cccc(Cl)c2)c1C,0.279713545,3460,50.16%
N-{4-[(4-sulfamoylphenyl)sulfamoyl]phenyl}benzamide,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3)cc2)cc1,0.279654908,3461,50.17%
"2-[2-[3-[3-(2-Hydroxyethyl)-1,3-benzothiazol-3-ium-2-yl]-2-methylprop-2-enylidene]-1,3-benzothiazol-3-yl]ethanol;chloride",CC(/C=C1\Sc2ccccc2N1CCO)=C\c1sc2ccccc2[n+]1CCO.[Cl-],0.279649748,3462,50.19%
"(Z)-3-oxo-2-(2,4,5-trimethoxybenzylidene)-2,3-dihydrobenzofuran-6-yl dimethylcarbamate",COc1cc(OC)c(OC)cc1/C=C1\Oc2cc(OC(=O)N(C)C)ccc2C1=O,0.279531069,3463,50.20%
"1-(2,6-Dichlorophenyl)-3-benzoylthiourea",O=C(NC(=S)Nc1c(Cl)cccc1Cl)c1ccccc1,0.279295418,3464,50.22%
N-(5-chloro-1-(2-(2-methoxyphenoxy)ethyl)-2-oxoindolin-3-yl)acetamide,COc1ccccc1OCCN1C(=O)C(NC(C)=O)c2cc(Cl)ccc21,0.279279873,3465,50.23%
"(Z)-2-(5-bromo-2-methoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl acetate",COc1ccc(Br)cc1/C=C1\Oc2cc(OC(C)=O)ccc2C1=O,0.279192858,3466,50.25%
"2-(2-((4-fluorobenzyl)thio)-6-oxo-1,6-dihydropyrimidin-4-yl)-N-(4-fluorophenethyl)acetamide",O=C(Cc1cc(=O)[nH]c(SCc2ccc(F)cc2)n1)NCCc1ccc(F)cc1,0.278310992,3467,50.26%
"(2Z)-3-oxo-2-(2,3,4-trimethoxybenzylidene)-2,3-dihydro-1-benzofuran-6-yl 2,2-dimethylpropanoate",COc1ccc(/C=C2\Oc3cc(OC(=O)C(C)(C)C)ccc3C2=O)c(OC)c1OC,0.278281514,3468,50.28%
"6-(4-methylpiperidin-1-yl)-N,1-diphenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",CC1CCN(c2nc(Nc3ccccc3)c3cnn(-c4ccccc4)c3n2)CC1,0.278268045,3469,50.29%
"2-[6-(1,3-benzodioxol-5-yl)pyridazin-3-yl]sulfanyl-N-(2-fluorophenyl)acetamide",O=C(CSc1ccc(-c2ccc3c(c2)OCO3)nn1)Nc1ccccc1F,0.278176867,3470,50.30%
"N-butyl-2-(3,4-dimethoxyphenyl)-3,5-dimethylpyrazolo[1,5-a]pyrimidin-7-amine",CCCCNc1cc(C)nc2c(C)c(-c3ccc(OC)c(OC)c3)nn12,0.278109057,3471,50.32%
"1-(4-chlorobenzyl)-3,7-dimethyl-8-(pyrrolidin-1-yl)-1H-purine-2,6(3H,7H)-dione",Cn1c(N2CCCC2)nc2c1c(=O)n(Cc1ccc(Cl)cc1)c(=O)n2C,0.277909455,3472,50.33%
"(Z)-2-((2-(3,4-dimethoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)propanoic acid",COc1ccc(/C=C2\Oc3cc(OC(C)C(=O)O)ccc3C2=O)cc1OC,0.277730229,3473,50.35%
"Methyl 4-(4-cyclohexylphenyl)-2,4-dioxobutanoate",COC(=O)C(=O)CC(=O)c1ccc(C2CCCCC2)cc1,0.277633487,3474,50.36%
"N-(3-chlorophenyl)-6-methyl-2-oxo-4-(p-tolyl)-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2cccc(Cl)c2)C(c2ccc(C)cc2)NC(=O)N1,0.277621032,3475,50.38%
"2-[(5Z)-5-[(4-methylphenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]pentanedioic acid",Cc1ccc(/C=C2\SC(=S)N(C(CCC(=O)O)C(=O)O)C2=O)cc1,0.27751293,3476,50.39%
"8-[benzyl(methyl)amino]-7-(2-fluorobenzyl)-3-methyl-3,7-dihydro-1H-purine-2,6-dione",CN(Cc1ccccc1)c1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1F,0.277503693,3477,50.41%
"(E)-3-(3,4-dimethoxyphenyl)-N-(4-(4-fluorophenyl)thiazol-2-yl)acrylamide",COc1ccc(/C=C/C(=O)Nc2nc(-c3ccc(F)cc3)cs2)cc1OC,0.277493501,3478,50.42%
Adamantane-2-carboxylic acid,O=C(O)C1C2CC3CC(C2)CC1C3,0.277488323,3479,50.43%
"Benzyl 4-(4-fluorophenyl)-6-methyl-2-thioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",CC1=C(C(=O)OCc2ccccc2)C(c2ccc(F)cc2)NC(=S)N1,0.277458946,3480,50.45%
"2-[(5Z)-5-[(2-fluorophenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]butanedioic acid",O=C(O)CC(C(=O)O)N1C(=O)/C(=C/c2ccccc2F)SC1=S,0.277451812,3481,50.46%
"(Z)-2-((2-(3-methoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)acetic acid",COc1cccc(/C=C2\Oc3cc(OCC(=O)O)ccc3C2=O)c1,0.277399443,3482,50.48%
"3,4-dimethoxy-N-[4-(4-methylphenyl)-1,3-thiazol-2-yl]benzamide",COc1ccc(C(=O)Nc2nc(-c3ccc(C)cc3)cs2)cc1OC,0.277298229,3483,50.49%
(Z)-6-(5-benzylidene-4-oxo-2-thioxothiazolidin-3-yl)-N-butylhexanamide,CCCCNC(=O)CCCCCN1C(=O)/C(=C/c2ccccc2)SC1=S,0.277057978,3484,50.51%
(Z)-6-(5-benzylidene-4-oxo-2-thioxothiazolidin-3-yl)-N-(tert-butyl)hexanamide,CC(C)(C)NC(=O)CCCCCN1C(=O)/C(=C/c2ccccc2)SC1=S,0.276729225,3485,50.52%
"Ethyl 6-fluoro-1-[(4-fluorophenyl)methyl]-4-oxo-1,4-dihydroquinoline-3-carboxylate",CCOC(=O)c1cn(Cc2ccc(F)cc2)c2ccc(F)cc2c1=O,0.276626813,3486,50.54%
"N-cyclopentyl-2-methyl-3-phenyl-5-propylpyrazolo[1,5-a]pyrimidin-7-amine",CCCc1cc(NC2CCCC2)n2nc(C)c(-c3ccccc3)c2n1,0.276550835,3487,50.55%
"Benzyl 4-(4-hydroxyphenyl)-6-methyl-2-thioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",CC1=C(C(=O)OCc2ccccc2)C(c2ccc(O)cc2)NC(=S)N1,0.276524887,3488,50.57%
"2-((4-Acetamidophenyl)amino)-3-allyl-4-(2,4-dichlorophenyl)thiazol-3-ium chloride",C=CC[n+]1c(-c2ccc(Cl)cc2Cl)csc1Nc1ccc(NC(C)=O)cc1.[Cl-],0.276450311,3489,50.58%
[1-(2-methylbenzyl)-1H-benzimidazol-2-yl]methanol,Cc1ccccc1Cn1c(CO)nc2ccccc21,0.276424316,3490,50.59%
"8-(4-Benzhydryl-piperazin-1-yl)-7-ethyl-3-methyl-3,7-dihydro-purine-2,6-dione",CCn1c(N2CCN(C(c3ccccc3)c3ccccc3)CC2)nc2c1c(=O)[nH]c(=O)n2C,0.276342352,3491,50.61%
2-[(2-Bromophenyl)methylene]-4-hydroxy-6-methylbenzo[b]furan-3-one,Cc1cc(O)c2c(c1)O/C(=C\c1ccccc1Br)C2=O,0.276214292,3492,50.62%
"Ethyl 4-(2-methoxyphenyl)-6-methyl-2-thioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",CCOC(=O)C1=C(C)NC(=S)NC1c1ccccc1OC,0.276145106,3493,50.64%
"4-(1,3-Benzodioxole-5-carbonyl)-1,3-dihydroquinoxalin-2-one",O=C1CN(C(=O)c2ccc3c(c2)OCO3)c2ccccc2N1,0.27606405,3494,50.65%
"(Z)-ethyl 2-((7-methyl-3-oxo-2-(3,4,5-trimethoxybenzylidene)-2,3-dihydrobenzofuran-6-yl)oxy)acetate",CCOC(=O)COc1ccc2c(c1C)O/C(=C\c1cc(OC)c(OC)c(OC)c1)C2=O,0.276013521,3495,50.67%
"6-pentyl-4-(p-tolyl)-3,4,6,7-tetrahydro-1H-pyrrolo[3,4-d]pyrimidine-2,5-dione",CCCCCN1CC2=C(C1=O)C(c1ccc(C)cc1)NC(=O)N2,0.2760125,3496,50.68%
"2-amino-1-(2-fluorophenethyl)-N-(3-methoxypropyl)-1H-pyrrolo[2,3-b]quinoxaline-3-carboxamide",COCCCNC(=O)c1c(N)n(CCc2ccccc2F)c2nc3ccccc3nc12,0.275996188,3497,50.70%
RN-1734,CC(C)NCCN(C(C)C)S(=O)(=O)C1=C(C=C(C=C1)Cl)Cl,0.275841583,3498,50.71%
"(Z)-methyl 2-((2-(4-chlorobenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)propanoate",COC(=O)C(C)Oc1ccc2c(c1)O/C(=C\c1ccc(Cl)cc1)C2=O,0.275815535,3499,50.72%
"2-[(5Z)-5-[(3-methylphenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]butanedioic acid",Cc1cccc(/C=C2\SC(=S)N(C(CC(=O)O)C(=O)O)C2=O)c1,0.275802103,3500,50.74%
"(Z)-2-(5-((5-(9,10-dioxo-9,10-dihydroanthracen-1-yl)furan-2-yl)methylene)-4-oxo-2-thioxothiazolidin-3-yl)acetic acid",O=C(O)CN1C(=O)/C(=C/c2ccc(-c3cccc4c3C(=O)c3ccccc3C4=O)o2)SC1=S,0.275793006,3501,50.75%
N-(3-acetamidophenyl)-2-[6-(3-methoxyphenyl)pyridazin-3-yl]sulfanylacetamide,COc1cccc(-c2ccc(SCC(=O)Nc3cccc(NC(C)=O)c3)nn2)c1,0.275755721,3502,50.77%
"1-(4-chlorobenzyl)-8-((2-hydroxypropyl)amino)-3,7-dimethyl-1H-purine-2,6(3H,7H)-dione",CC(O)CNc1nc2c(c(=O)n(Cc3ccc(Cl)cc3)c(=O)n2C)n1C,0.27568967,3503,50.78%
(Z)-methyl 2-(2-methoxy-4-((6-methoxy-3-oxobenzofuran-2(3H)-ylidene)methyl)phenoxy)propanoate,COC(=O)C(C)Oc1ccc(/C=C2\Oc3cc(OC)ccc3C2=O)cc1OC,0.27559633,3504,50.80%
"4-(4-chlorophenyl)-6-propyl-1H,2H,3H,4H,5H,6H,7H-pyrrolo[3,4-d]pyrimidine-2,5-dione",CCCN1CC2=C(C1=O)C(c1ccc(Cl)cc1)NC(=O)N2,0.275540352,3505,50.81%
"(Z)-ethyl 2-((3-oxo-2-(2,4,5-trimethoxybenzylidene)-2,3-dihydrobenzofuran-6-yl)oxy)acetate",CCOC(=O)COc1ccc2c(c1)O/C(=C\c1cc(OC)c(OC)cc1OC)C2=O,0.27545643,3506,50.83%
(Z)-5-((5-(4-ethylphenyl)furan-2-yl)methylene)-3-(furan-2-ylmethyl)-2-thioxothiazolidin-4-one,CCc1ccc(-c2ccc(/C=C3\SC(=S)N(Cc4ccco4)C3=O)o2)cc1,0.275455623,3507,50.84%
"6-butyl-4-phenyl-3,4,6,7-tetrahydro-1H-pyrrolo[3,4-d]pyrimidine-2,5-dione",CCCCN1CC2=C(C1=O)C(c1ccccc1)NC(=O)N2,0.275446114,3508,50.86%
"6-(3-ethoxypropyl)-4-phenyl-3,4,6,7-tetrahydro-1H-pyrrolo[3,4-d]pyrimidine-2,5-dione",CCOCCCN1CC2=C(C1=O)C(c1ccccc1)NC(=O)N2,0.275289361,3509,50.87%
"4-(4-bromophenyl)-6-pentyl-3,4,6,7-tetrahydro-1H-pyrrolo[3,4-d]pyrimidine-2,5-dione",CCCCCN1CC2=C(C1=O)C(c1ccc(Br)cc1)NC(=O)N2,0.275199613,3510,50.88%
"benzyl 4-(4-methoxyphenyl)-6-methyl-2-sulfanylidene-3,4-dihydro-1H-pyrimidine-5-carboxylate",COc1ccc(C2NC(=S)NC(C)=C2C(=O)OCc2ccccc2)cc1,0.275141872,3511,50.90%
"Ethyl 6-(chloromethyl)-4-(4-methoxyphenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",CCOC(=O)C1=C(CCl)NC(=O)NC1c1ccc(OC)cc1,0.274956343,3512,50.91%
"Ethyl 4-[4-(dimethylamino)phenyl]-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(N(C)C)cc1,0.274925343,3513,50.93%
"1-(2-methoxyphenyl)-5-oxo-N-[5-(2-oxo-2-pyrrolidin-1-ylethyl)sulfanyl-1,3,4-thiadiazol-2-yl]pyrrolidine-3-carboxamide",COc1ccccc1N1CC(C(=O)Nc2nnc(SCC(=O)N3CCCC3)s2)CC1=O,0.274822418,3514,50.94%
N-(4-(1H-benzo[d]imidazol-2-yl)phenyl)-4-(dimethylamino)benzamide,CN(C)c1ccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,0.274697915,3515,50.96%
"7-[(2-Chlorophenyl)methyl]-8-(3,5-dimethylpiperidin-1-YL)-1,3-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",CC1CC(C)CN(c2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccccc2Cl)C1,0.274671775,3516,50.97%
[1-(4-methylbenzyl)-1H-benzimidazol-2-yl]methanol,Cc1ccc(Cn2c(CO)nc3ccccc32)cc1,0.27466737,3517,50.99%
(Z)-N-cyclohexyl-4-(5-(4-ethylbenzylidene)-4-oxo-2-thioxothiazolidin-3-yl)butanamide,CCc1ccc(/C=C2\SC(=S)N(CCCC(=O)NC3CCCCC3)C2=O)cc1,0.274655203,3518,51.00%
CID 16803116,Cc1ccccc1Cn1c(N2CCN(CCc3ccccc3)CC2)nc2c1c(=O)[nH]c(=O)n2C,0.274594297,3519,51.01%
"(Z)-isopropyl 2-((7-methyl-3-oxo-2-(3,4,5-trimethoxybenzylidene)-2,3-dihydrobenzofuran-6-yl)oxy)acetate",COc1cc(/C=C2\Oc3c(ccc(OCC(=O)OC(C)C)c3C)C2=O)cc(OC)c1OC,0.274513014,3520,51.03%
"(Z)-ethyl 2-((2-(2-ethoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)propanoate",CCOC(=O)C(C)Oc1ccc2c(c1)O/C(=C\c1ccccc1OCC)C2=O,0.274458319,3521,51.04%
"(Z)-ethyl 2-((2-(2,4-dimethoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)propanoate",CCOC(=O)C(C)Oc1ccc2c(c1)O/C(=C\c1ccc(OC)cc1OC)C2=O,0.274386852,3522,51.06%
"(Z)-methyl 2-((2-(4-methylbenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)acetate",COC(=O)COc1ccc2c(c1)O/C(=C\c1ccc(C)cc1)C2=O,0.274377408,3523,51.07%
(Z)-6-((2-methylallyl)oxy)-2-(4-methylbenzylidene)benzofuran-3(2H)-one,C=C(C)COc1ccc2c(c1)O/C(=C\c1ccc(C)cc1)C2=O,0.274277333,3524,51.09%
"2-(2-(Dimethylamino)ethyl)-1-(4-ethoxyphenyl)-1,2-dihydrochromeno[2,3-c]pyrrole-3,9-dione",CCOc1ccc(C2c3c(oc4ccccc4c3=O)C(=O)N2CCN(C)C)cc1,0.2742284,3525,51.10%
"4-(3-fluorophenyl)-6-pentyl-3,4,6,7-tetrahydro-1H-pyrrolo[3,4-d]pyrimidine-2,5-dione",CCCCCN1CC2=C(C1=O)C(c1cccc(F)c1)NC(=O)N2,0.274174044,3526,51.12%
"N-(5-{[2-(1,3-dioxolan-2-yl)ethyl]sulfanyl}-1,3,4-thiadiazol-2-yl)-1-(4-methoxyphenyl)-5-oxopyrrolidine-3-carboxamide",COc1ccc(N2CC(C(=O)Nc3nnc(SCCC4OCCO4)s3)CC2=O)cc1,0.274150085,3527,51.13%
"2-[(5E)-5-[(3-fluorophenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]butanoic acid",CCC(C(=O)O)N1C(=O)/C(=C\c2cccc(F)c2)SC1=S,0.27411942,3528,51.15%
"4-(4-bromophenyl)-N-(2-fluorophenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2ccccc2F)C(c2ccc(Br)cc2)NC(=O)N1,0.273945222,3529,51.16%
"N2-(4-methoxyphenyl)-N4-phenyl-6-(pyrrolidin-1-yl)-1,3,5-triazine-2,4-diamine hydrochloride",COc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCCC3)n2)cc1.Cl,0.27394346,3530,51.17%
2-(2-methyl-1H-indol-3-yl)-N-[(2-methyl-1H-indol-5-yl)methyl]-2-oxoacetamide,Cc1cc2cc(CNC(=O)C(=O)c3c(C)[nH]c4ccccc34)ccc2[nH]1,0.273921491,3531,51.19%
"1-ethyl-N-(3-ethylphenyl)-4-hydroxy-2-oxo-1,2-dihydroquinoline-3-carboxamide",CCc1cccc(NC(=O)c2c(O)c3ccccc3n(CC)c2=O)c1,0.273805128,3532,51.20%
"5-(2-Hydroxyethylamino)quinazolino[2,3-a]phthalazin-8-one",O=c1c2ccccc2nc2c3ccccc3c(NCCO)nn12,0.273793631,3533,51.22%
"7-(2-chlorobenzyl)-8-(4-(4-fluorobenzyl)piperazin-1-yl)-3-methyl-1H-purine-2,6(3H,7H)-dione",Cn1c(=O)[nH]c(=O)c2c1nc(N1CCN(Cc3ccc(F)cc3)CC1)n2Cc1ccccc1Cl,0.273686462,3534,51.23%
2-Azabicyclo[2.2.2]octane hydrochloride,C1CC2CCC1CN2.Cl,0.273616471,3535,51.25%
"4-[(5Z)-5-[(3-bromophenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]butanoic acid",O=C(O)CCCN1C(=O)/C(=C/c2cccc(Br)c2)SC1=S,0.273373508,3536,51.26%
(Z)-2-(5-bromo-2-methoxybenzylidene)-7-((dimethylamino)methyl)-6-hydroxybenzofuran-3(2H)-one,COc1ccc(Br)cc1/C=C1\Oc2c(ccc(O)c2CN(C)C)C1=O,0.273324213,3537,51.28%
"(Z)-methyl 2-((2-(3-chlorobenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)propanoate",COC(=O)C(C)Oc1ccc2c(c1)O/C(=C\c1cccc(Cl)c1)C2=O,0.273321109,3538,51.29%
"(Z)-2-((2-(3-fluorobenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)propanoic acid",CC(Oc1ccc2c(c1)O/C(=C\c1cccc(F)c1)C2=O)C(=O)O,0.27324801,3539,51.30%
"3-fluoro-N-(3-(thiazolo[5,4-b]pyridin-2-yl)phenyl)benzenesulfonamide",O=S(=O)(Nc1cccc(-c2nc3cccnc3s2)c1)c1cccc(F)c1,0.273200433,3540,51.32%
"Ethyl 6-(chloromethyl)-4-(4-methylphenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",CCOC(=O)C1=C(CCl)NC(=O)NC1c1ccc(C)cc1,0.273147129,3541,51.33%
"(Z)-methyl 2-((7-methyl-3-oxo-2-(3,4,5-trimethoxybenzylidene)-2,3-dihydrobenzofuran-6-yl)oxy)acetate",COC(=O)COc1ccc2c(c1C)O/C(=C\c1cc(OC)c(OC)c(OC)c1)C2=O,0.273071752,3542,51.35%
"7-(4-fluorobenzyl)-8-(4-(4-fluorobenzyl)piperazin-1-yl)-3-methyl-1H-purine-2,6(3H,7H)-dione",Cn1c(=O)[nH]c(=O)c2c1nc(N1CCN(Cc3ccc(F)cc3)CC1)n2Cc1ccc(F)cc1,0.27291397,3543,51.36%
"3,5-dichloro-N-[5-(3-methylphenyl)-1,3,4-thiadiazol-2-yl]benzamide",Cc1cccc(-c2nnc(NC(=O)c3cc(Cl)cc(Cl)c3)s2)c1,0.272537133,3544,51.38%
1-Adamantaneacetic acid,O=C(O)CC12CC3CC(CC(C3)C1)C2,0.272381071,3545,51.39%
"8-(4-(2-chlorobenzyl)piperazin-1-yl)-7-(4-fluorobenzyl)-3-methyl-1H-purine-2,6(3H,7H)-dione",Cn1c(=O)[nH]c(=O)c2c1nc(N1CCN(Cc3ccccc3Cl)CC1)n2Cc1ccc(F)cc1,0.272210365,3546,51.41%
(Z)-2-(3-methoxybenzylidene)-6-(2-oxopropoxy)benzofuran-3(2H)-one,COc1cccc(/C=C2\Oc3cc(OCC(C)=O)ccc3C2=O)c1,0.272030854,3547,51.42%
(Z)-2-methoxy-4-((6-methoxy-3-oxobenzofuran-2(3H)-ylidene)methyl)phenyl dimethylcarbamate,COc1ccc2c(c1)O/C(=C\c1ccc(OC(=O)N(C)C)c(OC)c1)C2=O,0.271966178,3548,51.44%
"(Z)-methyl 2-((2-(4-methoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)acetate",COC(=O)COc1ccc2c(c1)O/C(=C\c1ccc(OC)cc1)C2=O,0.271830113,3549,51.45%
"2-[(5Z)-5-[(2-methylphenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]butanedioic acid",Cc1ccccc1/C=C1\SC(=S)N(C(CC(=O)O)C(=O)O)C1=O,0.27166898,3550,51.46%
"3,4,5-trimethoxy-N-(5-methyl-4-phenyl-1,3-thiazol-2-yl)benzamide",COc1cc(C(=O)Nc2nc(-c3ccccc3)c(C)s2)cc(OC)c1OC,0.271569812,3551,51.48%
"2-[(5Z)-5-[(4-methylphenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]acetic acid",Cc1ccc(/C=C2\SC(=S)N(CC(=O)O)C2=O)cc1,0.271553105,3552,51.49%
2-[(4-Bromophenyl)methylene]-4-hydroxy-6-methylbenzo[b]furan-3-one,Cc1cc(O)c2c(c1)O/C(=C\c1ccc(Br)cc1)C2=O,0.271330599,3553,51.51%
"6-butyl-4-(4-chlorophenyl)-3,4,6,7-tetrahydro-1H-pyrrolo[3,4-d]pyrimidine-2,5-dione",CCCCN1CC2=C(C1=O)C(c1ccc(Cl)cc1)NC(=O)N2,0.271260768,3554,51.52%
"2-[(5Z)-5-[(2-fluorophenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]pentanedioic acid",O=C(O)CCC(C(=O)O)N1C(=O)/C(=C/c2ccccc2F)SC1=S,0.271207526,3555,51.54%
"5-(4-Ethoxy-3-methoxy-phenyl)-4-(furan-2-carbonyl)-3-hydroxy-1-pyridin-3-ylmethyl-1,5-dihydro-pyrrol-2-one",CCOc1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2Cc2cccnc2)cc1OC,0.270888429,3556,51.55%
"2-[(5Z)-5-[(4-methoxyphenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]-3-methylbutanoic acid",COc1ccc(/C=C2\SC(=S)N(C(C(=O)O)C(C)C)C2=O)cc1,0.270846741,3557,51.57%
"N-(2-chlorophenyl)-4-(4-(dimethylamino)phenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2ccccc2Cl)C(c2ccc(N(C)C)cc2)NC(=O)N1,0.270830157,3558,51.58%
"(Z)-3-oxo-2-(2,3,4-trimethoxybenzylidene)-2,3-dihydrobenzofuran-6-yl dimethylcarbamate",COc1ccc(/C=C2\Oc3cc(OC(=O)N(C)C)ccc3C2=O)c(OC)c1OC,0.270710897,3559,51.59%
"(Z)-methyl 2-((2-(3,4-dimethoxybenzylidene)-7-methyl-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)propanoate",COC(=O)C(C)Oc1ccc2c(c1C)O/C(=C\c1ccc(OC)c(OC)c1)C2=O,0.270613578,3560,51.61%
"(Z)-methyl 2-((2-(2,5-dimethoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl)oxy)propanoate",COC(=O)C(C)Oc1ccc2c(c1)O/C(=C\c1cc(OC)ccc1OC)C2=O,0.270358976,3561,51.62%
N-(6-(methylthio)benzo[d]thiazol-2-yl)benzo[d]thiazole-6-carboxamide,CSc1ccc2nc(NC(=O)c3ccc4ncsc4c3)sc2c1,0.270345216,3562,51.64%
"8-(4-(3-chlorobenzyl)piperazin-1-yl)-7-(2-fluorobenzyl)-3-methyl-1H-purine-2,6(3H,7H)-dione",Cn1c(=O)[nH]c(=O)c2c1nc(N1CCN(Cc3cccc(Cl)c3)CC1)n2Cc1ccccc1F,0.270344633,3563,51.65%
"2-(3,4-Dimethoxyphenyl)-3,5-dimethyl-7-(4-methylpiperidin-1-yl)pyrazolo[1,5-a]pyrimidine",COc1ccc(-c2nn3c(N4CCC(C)CC4)cc(C)nc3c2C)cc1OC,0.270312032,3564,51.67%
"5-hydroxy-1,3,6-trimethylpyrido[2,3-d]pyrimidine-2,4(1H,3H)-dione",Cc1cnc2c(c1O)c(=O)n(C)c(=O)n2C,0.270294487,3565,51.68%
